證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M2000  ,鋼鐵工業類指數,20000218,        0,  -223.60,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000218,        -,     0.04,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000218,        -,    81.64,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000219,        -,    -3.96,        -,        -,        -,        -
M2500  ,建材營造類指數,20000219,       -3,   -22.46,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000219,        0,    -9.10,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000219,        -,    -1.34,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000219,        -,    -1.37,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000221,        -,    -7.65,        -,        -,        -,        -
M2500  ,建材營造類指數,20000221,        0,   -27.58,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000221,        0,   126.54,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000221,        -,     2.29,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000221,        -,    -9.64,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000222,        -,     4.40,        -,        -,        -,        -
M2500  ,建材營造類指數,20000222,        0,    15.74,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000222,        0,   -23.26,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000222,        -,    -0.86,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000222,        -,     1.51,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000223,        -,   -19.00,        -,        -,        -,        -
M2500  ,建材營造類指數,20000223,        0,  -107.47,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000223,        0,   -30.05,        0,     0.00,        0,     0.00
