日期,收盤價,開市,高,低,成交量,更改%,報酬
2021年1月11日,"35,544.30","38,195.30","38,217.20","30,411.60",251.04K,-6.93%,0.07449577
2021年1月10日,"38,192.20","40,149.70","41,362.40","35,141.60",215.78K,-4.88%,0.051311524
2021年1月9日,"40,151.90","40,607.20","41,363.50","38,775.10",128.42K,-1.10%,0.011142686
2021年1月8日,"40,599.30","39,466.40","41,921.70","36,613.40",251.29K,2.89%,-0.028057134
2021年1月7日,"39,460.20","36,798.50","40,340.90","36,361.20",249.60K,7.25%,-0.067587088
2021年1月6日,"36,793.20","33,999.30","36,934.80","33,408.30",227.56K,8.24%,-0.076147223
2021年1月5日,"33,991.50","32,015.40","34,414.70","30,010.50",202.13K,6.15%,-0.057923304
2021年1月4日,"32,022.60","33,016.60","33,587.50","28,204.50",255.27K,-2.84%,0.029238725
2021年1月3日,"32,958.90","32,192.90","34,755.90","32,029.60",155.21K,2.38%,-0.023228931
2021年1月2日,"32,193.30","29,359.70","33,233.50","29,008.00",240.87K,9.65%,-0.088012102
2021年1月1日,"29,359.90","28,951.70","29,627.10","28,712.40",100.90K,1.42%,-0.013981655
2020年12月31日,"28,949.40","28,866.80","29,298.80","28,025.00",136.69K,0.28%,-0.002787623
2020年12月30日,"28,868.70","27,374.50","28,979.30","27,374.50",159.82K,5.45%,-0.05170652
2020年12月29日,"27,376.00","27,065.30","27,390.70","25,902.80",119.57K,1.18%,-0.01162332
2020年12月28日,"27,057.80","26,259.20","27,444.90","26,144.30",126.98K,3.03%,-0.029436983
2020年12月27日,"26,261.30","26,460.30","28,360.30","25,858.20",231.23K,-0.73%,0.007353025
2020年12月26日,"26,454.40","24,714.70","26,826.00","24,515.10",155.77K,7.15%,-0.06671102
2020年12月25日,"24,689.60","23,728.70","24,778.90","23,445.30",2.40K,4.02%,-0.038603299
2020年12月24日,"23,736.50","23,253.20","23,783.70","22,737.30",104.59K,2.06%,-0.02016304
2020年12月23日,"23,257.90","23,820.80","24,063.70","22,694.70",178.47K,-2.37%,0.02430572
2020年12月22日,"23,823.20","22,730.40","23,825.40","22,388.60",130.75K,4.82%,-0.045951006
2020年12月21日,"22,728.50","23,474.10","24,101.90","22,015.50",154.69K,-3.18%,0.032839827
2020年12月20日,"23,474.90","23,843.60","24,280.90","23,098.90",114.09K,-1.55%,0.015723177
2020年12月19日,"23,844.00","23,127.60","24,107.10","22,797.00",133.88K,3.10%,-0.030032713
2020年12月18日,"23,127.90","22,823.30","23,272.80","22,361.50",131.80K,1.33%,-0.013079441
2020年12月17日,"22,825.40","21,352.30","23,738.00","21,243.10",310.74K,6.90%,-0.064542133
2020年12月16日,"21,352.20","19,434.70","21,525.30","19,299.70",199.81K,9.87%,-0.089794026
2020年12月15日,"19,434.90","19,273.90","19,556.30","19,076.20",98.39K,0.84%,-0.008289212
2020年12月14日,"19,273.80","19,176.40","19,346.50","19,007.00",67.11K,0.51%,-0.005032739
2020年12月13日,"19,176.80","18,808.10","19,403.60","18,716.80",82.45K,1.96%,-0.01918464
