Date,BTC,trend,ETH,XRP,LTC,EOS ,ADA ,DOGE,TRX ,XLM ,ZEC ,ZRX ,ETC ,VET ,DASH, IOTA ,NEO ,QTUM ,MANA,XMR,BNB,ICX,LINK,XEM,ONT,BAT,OMG,SNT,DGB,BCH,ZIL,THETA
2018/9/21,6753.834472,1,247.4100179,0.565418551,60.81121247,6.168301812,0.087938025,0.005699958,0.025099024,0.249804352,126.405245,0.63973401,11.69199403,0.015417792,209.1974399,0.631348401,19.82057042,4.034447889,0.080386563,123.7422827,10.4471347,0.723787749,0.354644115,0.100821896,2.15659701,0.182414334,3.690533382,0.039551727,0.026681586,500.8343369,0.03753477,0.091730381
2018/9/22,6747.032173,1,241.8437318,0.573448623,60.83230424,5.969638247,0.083682619,0.005811418,0.023342849,0.240711863,124.3059935,0.620279156,11.47694856,0.013739273,206.1478218,0.608698234,18.92197343,3.782479086,0.076601518,122.7109768,10.31689962,0.686580581,0.340125312,0.096857491,2.071858114,0.177900199,3.575667896,0.037230694,0.026222738,487.9989891,0.035360142,0.08845027
2018/9/23,6711.029452,1,244.7847955,0.572512681,61.5747062,6.037670156,0.08990618,0.00594964,0.023856861,0.282179341,130.837891,0.644497168,11.64684497,0.014151995,205.2580191,0.612051284,19.60297773,4.155905025,0.077606156,122.7631971,10.3096821,0.704995276,0.344550712,0.101855731,2.080322242,0.177857951,3.634784451,0.040013756,0.027501385,492.587361,0.036118589,0.089451172
2018/9/24,6596.187313,1,228.3409115,0.494431878,57.9712557,5.678681095,0.082776148,0.005684058,0.022113626,0.258927382,138.8777292,0.659279216,11.02644149,0.013100633,197.7699796,0.558387913,18.45905358,3.797487792,0.075192788,115.1790094,10.04037692,0.658113579,0.334357677,0.096248919,1.905440692,0.161480965,3.405020772,0.037107692,0.025217884,462.2150259,0.035362068,0.086087514
2018/9/25,6441.311545,1,219.5043438,0.528123262,57.76468074,5.393521083,0.080981204,0.005747977,0.021285127,0.252901106,135.0923787,0.655469881,11.07803845,0.012831324,189.7314889,0.567099231,18.11236362,3.688005137,0.07186927,116.4945483,9.790952201,0.641557391,0.326672443,0.092548271,1.857276651,0.161777205,3.387951619,0.035659427,0.02401306,445.7091242,0.034027169,0.08600543
2018/9/26,6462.795635,1,214.9793803,0.514998566,57.33768532,5.552435901,0.079166623,0.005754155,0.020933542,0.24491699,132.55531,0.647057772,10.95874734,0.012535773,184.262656,0.553192163,17.7957043,3.629620394,0.071823491,115.423535,9.744685924,0.637306687,0.351609569,0.0930211,1.829926689,0.172763318,3.357291485,0.036713922,0.024197228,515.0588203,0.034333846,0.084714968
2018/9/27,6704.704246,1,229.2219593,0.542321115,63.3099992,5.828422257,0.0863093,0.00588891,0.022525107,0.260727523,144.0833706,0.685906303,11.44447083,0.013120375,195.0281946,0.584580861,19.03727495,3.999039204,0.077677979,119.517429,10.05583929,0.672072087,0.34664248,0.097738408,1.923736519,0.176181705,3.654622479,0.038151973,0.026832722,565.3989263,0.035478138,0.087551425
2018/9/28,6634.765965,1,222.2292398,0.540110979,61.98121172,5.759563476,0.084024662,0.005877135,0.021934775,0.254263553,135.8281521,0.653474014,11.23096382,0.013069761,187.5689115,0.570654918,19.27682704,3.867938949,0.077390184,116.9612256,9.971699205,0.648155845,0.334753821,0.094982365,2.015891908,0.173478226,3.515241665,0.036967215,0.026122027,540.3500523,0.035215287,0.085967761
2018/9/29,6606.073795,1,231.7358733,0.57164087,61.58886906,5.760624023,0.084582605,0.005887727,0.022062945,0.255382919,133.3117076,0.648230935,11.3844559,0.012923616,188.5020984,0.565404641,19.20915165,3.8688573,0.074597929,114.8299994,9.968252402,0.656059834,0.329781324,0.096418162,1.985848926,0.16825335,3.690132224,0.038209632,0.025492444,538.2191644,0.035247998,0.087591661
2018/9/30,6626.037956,1,232.7813852,0.58161275,61.1999726,5.703741204,0.085168913,0.005945785,0.022160931,0.259508082,131.8771582,0.646380722,11.35374426,0.012898224,187.6831177,0.567692256,18.90695655,3.872175139,0.074837652,116.2119951,10.01289673,0.649698968,0.331584424,0.096937873,2.001506742,0.159076217,3.728279671,0.037228317,0.025742681,529.8880676,0.035409312,0.088818251
