,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX,BBI
162,0.18372993912562263,0.11296129612961292,0.07820965842167249,0.18854673149648837,0.42834334691819675,0.2291086350974929,0.13943355119825696,0.20856624319419237,0.2202227934875749,0.31864406779661025,0.09589041095890405,-0.07762606171379416,0.21700223713646527,0.2080783353733171,0.23659756969263745,0.1275356874530429,0.16150911403136936,0.14734619727991372,0.7843010055141098,0.19679300291545188,0
163,0.12926829268292672,0.06861443116423205,0.1906323185011709,0.16044776119403004,0.20264949402023924,0.1320504313205042,0.09594882729211096,0.13569850911098835,0.22390572390572383,0.19821240799158768,0.11659192825112119,-0.06187161639597849,0.14158576051779947,0.11656087709174834,0.17562968005445878,0.07882676443629699,0.11828404831320283,0.07662313257540165,0.5095124851367421,0.22260612043435346,0
164,0.2222222222222221,0.15724381625441697,0.17471857410881797,0.21102863202545064,0.4103408655687475,0.21017402945113783,0.16989247311827982,0.19539261132181474,0.27121464226289516,0.24244004171011468,0.1842105263157896,-0.1596629338064086,0.22024299835255357,0.20114942528735624,0.20396988364134172,0.1549575582445366,0.2596810933940774,0.1315204540080397,0.7670487106017194,0.2340116279069766,0
165,0.18474531538664563,0.13277826468010523,0.08840818245944027,0.1729758149316507,0.2522842451818148,0.1611219830397912,0.10460251046025104,0.1888737201365187,0.2625514403292182,0.28332462101411404,0.2366071428571428,-0.09458817944457631,0.15649040802415026,0.16011396011396029,0.17420212765957444,0.12923076923076904,0.2536187563710499,0.13054781801299886,0.4397522522522521,0.12511457378551794,0
166,0.14041281912004355,0.05726872246696035,0.06484319735911348,0.1456882699517943,0.2714981273408239,0.14436387607119316,0.09421841541755893,0.1625670684969689,0.18958502847843772,0.3083864118895965,0.19634703196347036,-0.12625789843201485,0.12309999999999999,0.1346266901822457,0.13797814207650272,0.08415017569816907,0.24714434060228463,0.11554840541307843,0.3475195822454309,0.09990485252140813,0
167,0.049652194770928304,0.02953953084274552,-0.00683270883843945,0.039701074264362424,-0.01880161156670579,0.04024024024024042,0.00591715976331364,0.003972314173939173,0.0839311334289814,0.19857482185273168,0.13025210084033612,-0.19468144044321323,-0.012352261619123728,0.0015625000000001332,-0.010125074449076843,-0.028733711994654243,0.18543046357615878,-0.008717839676802064,0.21691678035470674,-0.026890756302520913,0
168,0.07690509583917726,0.003639304488475492,0.014201441992571562,0.002272727272727204,0.01041298976350169,0.02606232294617561,-0.021032504780114647,0.01783998077847193,0.1025280898876404,0.07240788346186822,0.11250000000000004,-0.11050238955589231,-0.01733193277310907,-0.012664640324214771,0.0011560693641619046,-0.006496751624187946,0.14598540145985384,0.015320095857582983,-0.03181239774586442,-0.01948842874543244,0
169,0.09791216702663785,0.023198011599005808,-0.08398898505114072,0.004134129536058628,0.06734593966097546,0.04513481828839394,0.009727626459144156,0.02133219885742088,0.07565337001375516,0.09082931110136028,0.06425702811244971,-0.09209751501589913,-0.003632175761871026,0.03100775193798455,0.009264620729589002,-0.0037383177570092796,0.1422718808193668,0.035781297726578565,0.028554549035053167,-0.023011707710940743,0
170,-0.04000889086463666,-0.10076335877862597,-0.10900379317228992,-0.09150612959719795,-0.11734195090158606,-0.055862831858407014,-0.08823529411764708,-0.04341950646298465,-0.021596858638743388,-0.005874947545111309,-0.08518518518518514,-0.009895764612745772,-0.10361994768373994,-0.09569377990430616,-0.07447413303013084,-0.12322126661454258,-0.04109814236396514,-0.055838836412271164,-0.19571915031619913,-0.10365135453474672,0
171,0.001336600579193492,-0.10406189555125733,-0.03046014257939056,-0.06902734199910354,-0.0583109325613681,-0.04325842696629212,-0.06439393939393945,-0.0667738416489636,-0.017601043024771834,-0.03462321792260692,-0.09747292418772568,-0.04155197273561417,-0.11493768945772986,-0.07170923379174854,-0.07191392978482447,-0.10562590158679275,-0.07074321027809394,-0.08746714848883042,-0.04536566288619481,-0.0733197556008146,0
172,0.027387473207906687,-0.02499999999999991,-0.02790079716563343,-0.046750818139317474,-0.08627647353383017,-0.02304147465437778,-0.0332681017612525,-0.038060417166147165,0.06019151846785231,-0.0490872210953347,-0.06870229007633588,-0.017142091870898657,-0.07844359362478859,-0.034196891191709766,-0.03181272509003619,-0.041624019106107135,-0.06611157368859288,-0.06922293858160844,-0.05560937802751398,-0.030276816608996393,0
