Date,BTC,ETH,XRP,LTC,EOS,ADA,DOGE,TRX,XLM,ZEC,ZRX,ETC,VET,DASH,IOTA,NEO,QTUM,KNC,MANA,XMR,BNB,ICX,LINK,ATOM,ALGO,BAT,OMG,REP,ARDR,SNT,BTS
2019/11/17,"8,509.80",184.18,0.26303,59.217,3.3934,0.045003,0.002745,0.018737,0.07158,35.82,0.27632,4.6185,0.007656,67.8,0.25696,12.0577,2.1258,0.17672,0.0293,61.515,20.16,0.16483,2.91,3.8922,0.2668,0.27483,1.0244,11.4,0.0525,0.012711,0.0263
2019/11/18,"8,208.40",178.5,0.25199,56.055,3.1832,0.043168,0.002636,0.017151,0.06702,34.61,0.26176,4.4123,0.007404,64.79,0.25046,11.3192,1.9654,0.17107,0.0288,58.281,19.1,0.1562,2.79,3.6073,0.2487,0.26321,0.9406,10.93,0.051,0.012322,0.02508
2019/11/19,"8,145.70",176.09,0.25386,55.143,3.1201,0.042155,0.002608,0.016951,0.06484,34.06,0.25993,4.3829,0.006879,65.71,0.24546,11.7046,1.9238,0.17127,0.0272,58.485,18.48,0.16272,2.72,3.4924,0.244,0.25026,0.8963,10.31,0.05095,0.012051,0.02399
2019/11/20,"8,099.30",174.96,0.25025,55.029,3.081,0.040882,0.002653,0.01655,0.06399,33.75,0.26249,4.3378,0.006122,64.32,0.24087,11.4964,1.8952,0.16825,0.0268,58.008,18.02,0.15554,2.7,3.3252,0.2524,0.23306,0.885,11.9,0.05019,0.012106,0.02376
2019/11/21,"7,627.90",161.46,0.24337,50.675,2.8188,0.038366,0.002504,0.015398,0.06072,31.42,0.26233,4.1818,0.005725,61.37,0.2274,11.0458,1.7857,0.159,0.0251,54.163,16.81,0.14362,2.54,3.1941,0.2467,0.22159,0.8226,11.3,0.04668,0.011251,0.02228
2019/11/22,"7,272.50",149.8,0.2302,47.423,2.6249,0.037003,0.002421,0.014387,0.05934,29.01,0.24282,3.8636,0.005171,56.51,0.20927,9.6891,1.6628,0.15143,0.023,51.067,15.58,0.13306,2.35,2.9339,0.2175,0.21962,0.7714,10.7,0.04401,0.010503,0.02089
2019/11/23,"7,324.10",152.46,0.234,48.18,2.6759,0.037889,0.002957,0.015017,0.06144,29.57,0.24802,3.9886,0.005753,55.35,0.21501,10.0032,1.7393,0.15627,0.0233,51.423,16.29,0.13614,2.42,3.2199,0.2267,0.22094,0.8031,11.21,0.04511,0.010634,0.02144
2019/11/24,"6,924.70",140.66,0.22023,44.212,2.4127,0.035006,0.002785,0.013706,0.05546,27.25,0.235,3.703,0.005228,50.93,0.2015,8.9855,1.6063,0.14695,0.0204,47.47,15.21,0.12463,2.22,3.0694,0.2015,0.20361,0.7364,10.26,0.04298,0.009627,0.01972
2019/11/25,"7,115.60",145.9,0.21785,45.619,2.5179,0.035895,0.002465,0.014189,0.0573,27.24,0.23748,3.8186,0.005812,49.81,0.20924,9.0808,1.6138,0.14355,0.0214,49.983,15.3,0.12745,2.26,3.3966,0.2026,0.20504,0.722,10.45,0.04407,0.009957,0.02048
2019/11/26,"7,162.80",147.61,0.22072,47.017,2.6112,0.036666,0.002327,0.015281,0.05752,28.18,0.24651,3.918,0.006333,50.2,0.21167,9.2561,1.668,0.15031,0.0224,51.216,15.47,0.12894,2.24,3.4893,0.2173,0.20371,0.7451,10.74,0.04598,0.010054,0.02077
2019/11/27,"7,510.60",152.7,0.22404,47.724,2.6767,0.039013,0.00239,0.016064,0.05863,28.45,0.26093,3.9499,0.006504,50.5,0.21151,9.4473,1.7113,0.16362,0.0247,55.794,16.03,0.13632,2.22,3.5679,0.2243,0.20318,0.7641,10.85,0.05089,0.01081,0.02146
2019/11/28,"7,426.70",151.07,0.22311,46.859,2.6253,0.039043,0.002428,0.015809,0.05792,28.61,0.26552,3.9358,0.006353,52.33,0.2101,9.2723,1.8023,0.17263,0.0251,53.973,15.52,0.13196,2.27,3.6742,0.2859,0.20512,0.7762,10.7,0.05113,0.011032,0.02105
2019/11/29,"7,742.70",154.55,0.23004,48.615,2.7922,0.041267,0.002887,0.016135,0.05903,29.33,0.27173,4.0859,0.006465,57.34,0.21828,9.7163,1.8764,0.18702,0.0261,55.84,16.14,0.13559,2.34,4.0125,0.2749,0.21515,0.8025,11.03,0.05311,0.011727,0.02191
2019/11/30,"7,546.60",151.95,0.22548,47.523,2.7478,0.040351,0.002394,0.015489,0.05733,29.04,0.25763,3.9678,0.006083,55.87,0.20997,9.3416,1.793,0.18293,0.0254,54.922,15.68,0.13298,2.24,3.9209,0.2653,0.20369,0.7668,10.87,0.0512,0.011209,0.021
2019/12/1,"7,396.40",151.04,0.22483,47.517,2.7742,0.039541,0.002365,0.015913,0.05718,27.92,0.26008,3.9719,0.007103,53.12,0.20503,9.2441,1.784,0.18188,0.0245,53.632,15.53,0.13249,2.16,3.8054,0.2641,0.19541,0.7472,10.77,0.05099,0.010983,0.02054
2019/12/2,"7,298.20",148.89,0.21915,45.611,2.6748,0.037968,0.00232,0.01521,0.05576,27.66,0.24808,3.8843,0.00742,52.69,0.20745,8.9498,1.7534,0.17888,0.0239,53.945,15.21,0.12944,2.09,3.6736,0.2737,0.18867,0.7354,10.26,0.05072,0.010833,0.02012
2019/12/3,"7,291.80",147.82,0.21946,45.156,2.6941,0.037737,0.002293,0.01519,0.05524,27.26,0.24326,3.8879,0.006966,51.29,0.20306,8.9396,1.7575,0.2023,0.0243,53.298,15.32,0.13105,2.12,3.6303,0.2879,0.19652,0.7433,10.15,0.04974,0.010903,0.02009
2019/12/4,"7,204.40",145.79,0.21409,44.725,2.6284,0.037089,0.002291,0.014291,0.05475,26.67,0.22936,3.7994,0.006899,50.31,0.19677,8.5994,1.709,0.19187,0.0236,52.599,15.16,0.12617,2.03,3.5534,0.2677,0.18207,0.7232,9.99,0.04729,0.010551,0.01981
2019/12/5,"7,399.20",148.69,0.22115,44.798,2.6824,0.037583,0.002328,0.014493,0.05536,30.17,0.23073,3.788,0.006874,50.03,0.20393,8.7395,1.7302,0.24363,0.0243,53.717,15.67,0.12752,2.01,3.4847,0.2644,0.18608,0.7329,10.65,0.04812,0.010396,0.01984
2019/12/6,"7,530.80",148.89,0.22555,45.346,2.7256,0.038257,0.002335,0.014681,0.05537,29.15,0.24304,3.8859,0.006949,52.51,0.2053,8.7316,1.7468,0.2655,0.0252,54.029,15.7,0.13016,2.09,3.6551,0.2677,0.19397,0.7494,10.41,0.04925,0.011206,0.01998
2019/12/7,"7,510.90",148.28,0.22708,45.237,2.7196,0.038445,0.002288,0.014484,0.05548,29.54,0.23615,3.8616,0.006805,52.45,0.20453,8.9114,1.743,0.23755,0.0249,54.291,15.63,0.13096,2.04,3.7601,0.275,0.18787,0.7484,10.37,0.04897,0.01279,0.02
2019/12/8,"7,524.40",151.17,0.22921,45.614,2.7398,0.038742,0.002287,0.014607,0.0558,29.3,0.23681,3.8981,0.007125,51.79,0.20659,9.0178,1.7459,0.24384,0.0267,53.643,15.64,0.13249,2.05,3.9167,0.2924,0.18848,0.7449,10.39,0.04912,0.010782,0.02009
2019/12/9,"7,355.80",147.88,0.22451,44.49,2.6567,0.037228,0.002281,0.014373,0.05465,30.93,0.23086,3.8001,0.006832,51.21,0.20227,8.7314,1.7328,0.22084,0.0266,54.414,15.44,0.13026,2.09,3.6665,0.2957,0.18505,0.7326,10.13,0.04882,0.010533,0.01974
2019/12/10,"7,235.70",145.86,0.22261,44.11,2.6034,0.036344,0.002306,0.014113,0.05313,30.01,0.22662,3.7726,0.006216,49.9,0.19753,8.5546,1.7415,0.19503,0.0272,52.702,15.02,0.12353,2.27,3.5829,0.2752,0.17444,0.7322,10.2,0.04608,0.010223,0.01918
2019/12/11,"7,208.00",143.51,0.22095,44.145,2.5767,0.036629,0.002304,0.014142,0.0528,31.38,0.22165,3.772,0.006071,49.74,0.19819,8.5209,1.7404,0.20216,0.0275,52.831,14.86,0.12472,2.18,3.8214,0.2866,0.17705,0.7186,10.16,0.04496,0.010201,0.01927
2019/12/12,"7,208.00",145.03,0.21851,43.615,2.5827,0.036522,0.002304,0.013758,0.05203,31.77,0.21651,3.8173,0.006214,49.87,0.19368,8.6552,1.8202,0.22185,0.0256,52.838,14.83,0.13003,2.11,4.0923,0.2767,0.17369,0.7111,10.05,0.04507,0.010083,0.01881
2019/12/13,"7,255.20",144.96,0.22057,44.44,2.6248,0.037186,0.002302,0.014052,0.05268,33.29,0.22019,3.8592,0.005894,50.66,0.1935,8.8881,1.863,0.21934,0.0261,52.406,14.91,0.13016,2.07,3.9845,0.2721,0.18787,0.7084,10.25,0.04489,0.01027,0.01897
2019/12/14,"7,080.80",142.03,0.21631,43.273,2.5652,0.03624,0.002294,0.01384,0.05093,32.07,0.21066,3.7985,0.005451,49.55,0.18925,8.7999,1.7566,0.20056,0.0252,51.253,14.53,0.12552,1.99,4.258,0.2523,0.17946,0.7049,9.87,0.04364,0.010066,0.0184
2019/12/15,"7,128.50",142.53,0.21746,43.472,2.563,0.036479,0.002275,0.013932,0.05101,32.89,0.20758,3.8054,0.00557,50.74,0.18713,8.9218,1.7554,0.21829,0.0264,50.624,14.55,0.12462,2.07,4.5323,0.2664,0.18393,0.7016,10.04,0.04398,0.010216,0.01828
2019/12/16,"6,903.50",132.78,0.20564,39.984,2.3704,0.034106,0.002249,0.013367,0.04706,29.55,0.19268,3.6811,0.005044,46.06,0.17386,8.3577,1.6563,0.23496,0.0266,49.158,13.61,0.11899,1.97,4.0537,0.2464,0.17485,0.6552,9.47,0.04267,0.009614,0.01723
